inchikey,smiles,pchembl,chembl_id,selfies
ACHQUDJPGNODSX-MMKMBUSTSA-N,Cc1nn(C)c2ncc(CN3CCN(C[C@@H](O)C[C@@H](Cc4ccccc4)C(=O)NC4c5ccccc5C[C@H]4O)[C@H](C(=O)NC(C)(C)C)C3)c(Cl)c12,9.85,CHEMBL326336,[C][C][=N][N][Branch1][C][C][C][=N][C][=C][Branch2][=Branch1][C][C][N][C][C][N][Branch2][Ring2][=Branch1][C][C@@H1][Branch1][C][O][C][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C@H1][Ring1][=Branch2][O][C@H1][Branch1][=C][C][=Branch1][C][=O][N][C][Branch1][C][C][Branch1][C][C][C][C][Ring2][Ring2][=Branch1][C][Branch1][C][Cl][=C][Ring2][Branch1][C][Ring2][Ring2][=C]
ACIVSSKFPCODPQ-VIJSPRBVSA-N,O=C1N(CC2CCC2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CCC1,8.89,CHEMBL287355,[O][=C][N][Branch1][Branch2][C][C][C][C][C][Ring1][Ring2][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring2][Ring1][N][C][C][C][C][C][Ring1][Ring2]
ACLGFPBLVWSDHZ-KZMCYEEOSA-N,CCC(C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C)C(=O)NCc1ccccn1,8.05,CHEMBL167514,[C][C][C][Branch1][C][C][C@H1][Branch2][Branch1][P][N][C][=Branch1][C][=O][C@@H1][Branch2][Branch1][Ring1][C][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][C][C][C][C][C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][#Branch1][C][C][Branch1][C][N][=O][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=N][Ring1][#Branch2][C][Branch1][C][C][C][C][=Branch1][C][=O][N][C][C][=C][C][=C][C][=N][Ring1][=Branch1]
ACMUDLDSUPPVGF-AZGAKELHSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1ccc(O)cc1O)S(=O)(=O)c1ccc(F)cc1,9.2,CHEMBL5184578,[C][C][Branch1][C][C][C][N][Branch2][Ring2][Ring1][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][O][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]
ACUNRNHXDMKZIB-LQLHWDHISA-N,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1cccnc1)C(C)C,9.0,CHEMBL324596,[C][C][Branch1][C][C][C@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Branch1][C][C][C]
ACUNRNHXDMKZIB-XAYNKGEHSA-N,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1cccnc1)C(C)C,9.0,CHEMBL322941,[C][C][Branch1][C][C][C@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Branch1][C][C][C]
ACUNRNHXDMKZIB-YAQJXRFXSA-N,CC(C)[C@H](NC(=O)OCc1cccnc1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1cccnc1)C(C)C,9.0,CHEMBL323595,[C][C][Branch1][C][C][C@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@@H1][Branch1][C][O][C@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][C@H1][Branch1][S][N][C][=Branch1][C][=O][O][C][C][=C][C][=C][N][=C][Ring1][=Branch1][C][Branch1][C][C][C]
ACUPOAMDZYDNCK-JYBCPWHASA-N,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@]12CCO[C@H]1OCC2,6.698970004336019,CHEMBL326258,[C][C][Branch1][C][C][Branch1][C][C][N][C][=Branch1][C][=O][C@@H1][C][C@@H1][C][C][C][C][C@@H1][Ring1][=Branch1][C][N][Ring1][#Branch2][C][C@@H1][Branch1][C][O][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=Branch1][C][=O][O][C@][C][C][O][C@H1][Ring1][Branch1][O][C][C][Ring1][Branch2]
ADEDXTOYVWWVDV-URLMMPGGSA-N,COc1ccc(CC(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)cc1,7.68,CHEMBL5412527,[C][O][C][=C][C][=C][Branch2][Branch1][Ring2][C][C][=Branch1][C][=O][N][C@@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C][N][Branch1][#Branch1][C][C][Branch1][C][C][C][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch1][Ring1][O][C][C][=C][Ring1][Branch2][C][=C][Ring2][Ring2][Branch1]
ADFMHXPVMGVOGF-DDLQZHSQSA-N,Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]nc(-c5ccc(C(F)(F)F)cc5)c4c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,9.6,CHEMBL323449,[N][C][=C][C][=C][C][Branch2][=Branch1][S][C][N][C][=Branch1][C][=O][N][Branch2][Ring2][Branch1][C][C][=C][C][=C][NH1][N][=C][Branch2][Ring1][Ring1][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][F][Branch1][C][F][F][C][=C][Ring1][#Branch2][C][Ring1][#C][=C][Ring2][Ring1][Ring1][C@H1][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C@H1][Branch1][C][O][C@@H1][Branch1][C][O][C@H1][Ring2][Ring2][Branch1][C][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring2][Branch1][Ring1]
