tag,smiles,affinity,pose
lig_0037,CC1CN(C(Cc2ccccc2)C(=O)NCC2N=Cc3cncnc32)C1=O,-9.029,dockrun/out/lig_0037_best.pdbqt
lig_0162,CCCC1NC(=O)N(CC(C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,-8.99,dockrun/out/lig_0162_best.pdbqt
lig_0078,COc1ccc(S(=O)(=O)N(Cc2ccc(CO)cc2)CC2CCCC2)cc1O,-8.987,dockrun/out/lig_0078_best.pdbqt
lig_0026,O=C1C=CC=CC(CCCC2C=C(O)C(c3ccccc3)=CC2=O)CO1,-8.985,dockrun/out/lig_0026_best.pdbqt
lig_0120,OC[C@]1(Cc2ccccc2)C[C@H](O)C[C@](CO)(Cc2ccccc2)[C@H]1O,-8.982,dockrun/out/lig_0120_best.pdbqt
lig_0063,CC(C)C1=C(O)C=COC(=O)Cc2c(NS(=O)(=O)c3ccc(F)cc3)cccc21,-8.979,dockrun/out/lig_0063_best.pdbqt
lig_0196,COc1cc(O)ccc1C=CCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC(C)C1,-8.978,dockrun/out/lig_0196_best.pdbqt
lig_0153,CC(C)CC(SCc1ccncc1)c1c(O)cc(-c2ccccc2)oc1=O,-8.978,dockrun/out/lig_0153_best.pdbqt
lig_0149,CC1(C)CN(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)C(=O)N1,-8.977,dockrun/out/lig_0149_best.pdbqt
lig_0143,[CH][C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)c1ccccc1C(C)(C)C)C(C)C,-8.963,dockrun/out/lig_0143_best.pdbqt
lig_0183,CC[CH]C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N1CCC[C@H]1C(=O)NC(C)(C)C,-8.955,dockrun/out/lig_0183_best.pdbqt
lig_0067,CC(C)CC1=C(O)C=COCCc2c(NS(=O)(=O)c3ccc(F)cc3)cccc21,-8.954,dockrun/out/lig_0067_best.pdbqt
lig_0091,CC(C)CC1OC(O)=C(SCc2ccccc2)C(=O)CC1c1ccccc1,-8.94,dockrun/out/lig_0091_best.pdbqt
lig_0090,O=C1N[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1,-8.931,dockrun/out/lig_0090_best.pdbqt
lig_0127,CC(Cc1ccc(C(F)(F)F)cc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,-8.923,dockrun/out/lig_0127_best.pdbqt
lig_0134,CCC(c1cccc(NS(=O)(=O)c2ccc(C#N)cc2)c1)c1c(O)cc(C)oc1=O,-8.917,dockrun/out/lig_0134_best.pdbqt
lig_0177,CCCc1cc(=O)c(C(c2cccc(S(=O)(=O)Cc3ccncc3)c2)C2CC2)c(O)o1,-8.911,dockrun/out/lig_0177_best.pdbqt
lig_0188,C[CH]C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCS[C@H]2C[C@H]1C(=O)NC(C)(C)C,-8.898,dockrun/out/lig_0188_best.pdbqt
lig_0126,CC(C)(C)NC(=O)c1ccccc1CC(O)CCc1ccccc1C(=O)OC(C)(C)C,-8.887,dockrun/out/lig_0126_best.pdbqt
lig_0034,CC1CCCCCCc2c1oc(O)c(C(c1ccccc1)C1CC1)c2=O,-8.882,dockrun/out/lig_0034_best.pdbqt
lig_0176,CCOC(=O)N1CSC[C@H]1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C,-8.881,dockrun/out/lig_0176_best.pdbqt
lig_0171,CC(C)[CH][CH]OC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CCN(CC(C)(C)C)C[C@H]1C,-8.878,dockrun/out/lig_0171_best.pdbqt
lig_0192,CC(C)(C)NC(=O)[CH]C1N(C[C@@H](O)[C@@H](N)Cc2ccccc2)CCN1C(=O)OC1CCCC1,-8.853,dockrun/out/lig_0192_best.pdbqt
lig_0178,CC=CC1=C(C(C)(C)C)C=CC(c2ccc(O)cc2)CC2(C)CC(=O)C(=C(O)O2)S1,-8.847,dockrun/out/lig_0178_best.pdbqt
lig_0198,CN[C@@H](Cc1ccccc1)[C@H](O)CN1CCN(Cc2ccccc2)C[C@H]1C(=O)NC(C)(C)C,-8.844,dockrun/out/lig_0198_best.pdbqt
lig_0130,CN(C)C(=O)[C](Cc1ccccc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C,-8.838,dockrun/out/lig_0130_best.pdbqt
lig_0140,C[C@H](Cc1ccncc1)C[C@H](O)CN1CCN(Cc2ccccc2)C[C@H]1C(=O)NC(C)(C)C,-8.835,dockrun/out/lig_0140_best.pdbqt
lig_0095,CC(C)(C)NC(=O)c1ccccc1CC(O)Cc1ccccc1C(=O)NC(C)(C)C,-8.822,dockrun/out/lig_0095_best.pdbqt
lig_0152,CC(C)C[CH]NC(=O)[C@H](Cc1cccc2ccccc12)CS(=O)(=O)C(F)(F)C(N)=O,-8.817,dockrun/out/lig_0152_best.pdbqt
lig_0148,O=C1N[C@H](Cc2cccc(Br)c2)[C@H](O)[C@@H](O)[C@@H](Cc2ccc(F)cc2)N1CC1CC1,-8.806,dockrun/out/lig_0148_best.pdbqt
lig_0016,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCC(=O)[C@@H]1Sc1ccccc1,-8.803,dockrun/out/lig_0016_best.pdbqt
lig_0172,CNC(=O)[C@@H](O)[C@H](Cc1ccc(C(F)(F)F)cc1)NC(=O)c1c(C)ccc(O)c1C,-8.803,dockrun/out/lig_0172_best.pdbqt
lig_0080,CC(C)c1ccccc1Sc1c(O)cc(-c2ccccc2)oc1=O,-8.801,dockrun/out/lig_0080_best.pdbqt
lig_0118,CC(C)(C)[C@@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)CF,-8.788,dockrun/out/lig_0118_best.pdbqt
lig_0142,CC(C)CC(c1cccc(NS(=O)(=O)c2cn(C)cn2)c1)c1c(O)ccoc1=O,-8.777,dockrun/out/lig_0142_best.pdbqt
lig_0056,NC(=O)CCNC(=O)C(c1ccccc1)N1C(=O)CC1c1ccccc1,-8.756,dockrun/out/lig_0056_best.pdbqt
lig_0195,CNC=CCN1C(=O)N(c2cccc(NC)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1C,-8.744,dockrun/out/lig_0195_best.pdbqt
lig_0114,CC1=CC2=CC(C)=C(Sc3ccccc3C(C)C)C(=O)OC(=C1)C2,-8.741,dockrun/out/lig_0114_best.pdbqt
lig_0103,CC(C)C(NC(=O)N(C)Cc1csc(C(C)(C)C)n1)C(=O)N[CH]Cc1ccccc1,-8.735,dockrun/out/lig_0103_best.pdbqt
lig_0004,CN1C(=O)N(C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,-8.724,dockrun/out/lig_0004_best.pdbqt
lig_0036,O=c1cc(-c2ccccc2)oc(O)c1Sc1ccccc1,-8.704,dockrun/out/lig_0036_best.pdbqt
lig_0193,CCCN(CCO)C(=O)C(Cc1ccc(Cl)cc1)C(O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C,-8.697,dockrun/out/lig_0193_best.pdbqt
